"city","floor","listing_id","listing_title","listing_url","neighborhood","num_bathrooms","num_rooms","price_dh","price_per_m2","property_type","scraped_at","standing","state","surface_m2","transaction_type"
"casablanca","1","8317173","Appartement à vendre quartier Floride sidi Maarouf","https://www.mubawab.ma/fr/a/8317173/appartement-%C3%A0-vendre-quartier-floride-sidi-maarouf","sidi maarouf","2","2","1600000","12903.23","appartement","2026-03-28T20:25:28.039Z","","etat_bon_/_habitable","124","vente"
"marrakech","4","8312588","Appt 2 chambres neuf cœur de Guéliz plaza","https://www.mubawab.ma/fr/a/8312588/appt-2-chambres-neuf-c%C5%93ur-de-gu%C3%A9liz-plaza","gueliz","1","3","1320000","24000","appartement","2026-03-28T20:25:30.039Z","","projet_neuf","55","unknown"
"marrakech",,"8317686","Un magnifique appartement à Zhour Targa","https://www.mubawab.ma/fr/a/8317686/un-magnifique-appartement-%C3%A0-zhour-targa","hay targa","1","5","900000","10344.83","appartement","2026-03-28T20:25:32.248Z","","etat_bon_/_habitable","87","unknown"
"casablanca","7","8316665","Appt 85m2 entièrement rénové orientation Sud","https://www.mubawab.ma/fr/a/8316665/appt-85m2-enti%C3%A8rement-r%C3%A9nov%C3%A9-orientation-sud","les hopitaux","1","3","1400000","16470.59","appartement","2026-03-28T20:25:35.542Z","","jamais_habite_/_renove","85","unknown"
"marrakech",,"8302773","Amelkis: Villa à vendre, 5 Ch, Piscine chauffée","https://www.mubawab.ma/fr/a/8302773/amelkis-villa-%C3%A0-vendre-5-ch-piscine-chauff%C3%A9e","amelkis","4","18","1250000","2272.73","appartement","2026-03-28T20:25:35.777Z","","etat_bon_/_habitable","550","vente"
"casablanca",,"8299842","Studio neuf à vendre à Riviera","https://www.mubawab.ma/fr/pa/8299842/studio-neuf-%C3%A0-vendre-%C3%A0-riviera","riviera","1","2","1306000","17648.65","appartement","2026-03-28T20:25:38.282Z","haut_standing","en_cours_de_construction","74","vente"
"casablanca",,"8299916","Un beau appartement de 98m² neuf à vendre","https://www.mubawab.ma/fr/pa/8299916/un-beau-appartement-de-98m%C2%B2-neuf-%C3%A0-vendre","sidi moumen","1","4","760000","7755.1","appartement","2026-03-28T20:25:42.445Z","moyen_standing","en_cours_de_construction","98","vente"
"marrakech","4","8308706","Magnifique appartement à Route de Casablanca. 84 m² à vendre","https://www.mubawab.ma/fr/a/8308706/magnifique-appartement-%C3%A0-route-de-casablanca-84-m%C2%B2-%C3%A0-vendre","route casablanca","2","2","1350000","16071.43","appartement","2026-03-28T20:25:44.873Z","","projet_neuf","84","vente"
"casablanca","5","8069824","Votre prochain coup de cœur au quartier Les Princesses","https://www.mubawab.ma/fr/a/8069824/votre-prochain-coup-de-c%C5%93ur-au-quartier-les-princesses","les princesses","2","5","2100000","16535.43","appartement","2026-03-28T20:25:47.167Z","","etat_bon_/_habitable","127","unknown"
"marrakech",,"8304902","Bel appartement à vendre à Mhamid. Surface de 60 m²","https://www.mubawab.ma/fr/pa/8304902/bel-appartement-%C3%A0-vendre-%C3%A0-mhamid-surface-de-60-m%C2%B2","mhamid",,,"510000","8500","appartement","2026-03-28T20:25:50.352Z","moyen_standing","en_cours_de_construction","60","vente"
"casablanca",,"8054221","2Ch Salon à vendre à Mers Sultan d'une superficie de 87m2","https://www.mubawab.ma/fr/pa/8054221/2ch-salon-%C3%A0-vendre-%C3%A0-mers-sultan-d-une-superficie-de-87m2","alsace lorraine","2","3","1450000","16666.67","appartement","2026-03-28T20:25:53.246Z","haut_standing","en_cours_de_construction","87","vente"
"marrakech",,"7915631","Vente d'un bel appartement à Guéliz","https://www.mubawab.ma/fr/pa/7915631/vente-d-un-bel-appartement-%C3%A0-gu%C3%A9liz","gueliz","1","2","1754000","24704.23","appartement","2026-03-28T20:25:54.463Z","haut_standing","en_cours_de_construction","71","vente"
"casablanca",,"7926261","Appartement à l'achat à Roches Noires. 1 chambre. Parking et ascenseur","https://www.mubawab.ma/fr/pa/7926261/appartement-%C3%A0-l-achat-%C3%A0-roches-noires-1-chambre-parking-et-ascenseur","roches noires","1","2","770000","15714.29","appartement","2026-03-28T20:25:56.848Z","haut_standing","finalise","49","unknown"
"marrakech","1","8276950","Superbe appartement à vendre à Hay Targa. Surface totale 66 m²","https://www.mubawab.ma/fr/pa/8276950/superbe-appartement-%C3%A0-vendre-%C3%A0-hay-targa-surface-totale-66-m%C2%B2","hay targa","2","2","1320000","20000","appartement","2026-03-28T20:25:59.943Z","haut_standing","en_cours_de_construction","66","vente"
"casablanca",,"8182960","Bel appartement à vendre à Maârif Extension. Superficie 78m²","https://www.mubawab.ma/fr/pa/8182960/bel-appartement-%C3%A0-vendre-%C3%A0-ma%C3%A2rif-extension-superficie-78m%C2%B2","maarif extension","2","3","1324500","16980.77","appartement","2026-03-28T20:26:00.553Z","haut_standing","finalise","78","vente"
"marrakech",,"8181698","Superbe appartement à vendre à Izdihar 2 chambres","https://www.mubawab.ma/fr/pa/8181698/superbe-appartement-%C3%A0-vendre-%C3%A0-izdihar-2-chambres","izdihar","2","2","798000","14000","appartement","2026-03-28T20:26:02.770Z","haut_standing","en_cours_de_construction","57","vente"
"casablanca","1","8305586","À VENDRE – Grand Appartement d’Exception","https://www.mubawab.ma/fr/a/8305586/%C3%A0-vendre-%E2%80%93-grand-appartement-d%E2%80%99exception","anfa","4","7","4150000","14163.82","appartement","2026-03-28T20:26:05.348Z","","etat_bon_/_habitable","293","vente"
"marrakech",,"8140934","Vente d'un bel appartement à Marrakech. Surface de 134 m²","https://www.mubawab.ma/fr/pa/8140934/vente-d-un-bel-appartement-%C3%A0-marrakech-surface-de-134-m%C2%B2","route casablanca","1","3","1515000","11305.97","appartement","2026-03-28T20:26:07.948Z","haut_standing","etat_bon_/_habitable","134","vente"
"marrakech","1","8115280","Appartement Neuf 83 m² à Guéliz avec Salle de Sport","https://www.mubawab.ma/fr/a/8115280/appartement-neuf-83-m%C2%B2-%C3%A0-gu%C3%A9liz-avec-salle-de-sport","gueliz","1","3","1650000","19879.52","appartement","2026-03-28T20:26:11.688Z","","etat_bon_/_habitable","83","unknown"
"casablanca","3","8163859","A vendre un joli appartement bien ensoleillé","https://www.mubawab.ma/fr/a/8163859/a-vendre-un-joli-appartement-bien-ensoleill%C3%A9","bourgogne ouest","3","5","2550000","13709.68","appartement","2026-03-28T20:26:15.337Z","","etat_bon_/_habitable","186","vente"
"marrakech","2","8116140","Appartements neufs à vendre, Guéliz","https://www.mubawab.ma/fr/a/8116140/appartements-neufs-%C3%A0-vendre-gu%C3%A9liz","gueliz","2","3","1650000","19879.52","appartement","2026-03-28T20:26:17.371Z","","etat_bon_/_habitable","83","vente"
"marrakech",,"8313593","Prix très compétitif","https://www.mubawab.ma/fr/a/8313593/prix-tr%C3%A8s-comp%C3%A9titif","route casablanca","2","3","1300000","13684.21","appartement","2026-03-28T20:26:20.045Z","","etat_bon_/_habitable","95","unknown"
"casablanca","3","8299804","A vendre un joli appartement 4 ch et terrasse","https://www.mubawab.ma/fr/a/8299804/a-vendre-un-joli-appartement-4-ch-et-terrasse","racine","3","6","3800000","20000","appartement","2026-03-28T20:26:22.257Z","","etat_bon_/_habitable","190","vente"
"marrakech",,"8213884","Nouveau Projet avec piscine à Marrakech","https://www.mubawab.ma/fr/a/8213884/nouveau-projet-avec-piscine-%C3%A0-marrakech","samlalia","1","2","624000","16000","appartement","2026-03-28T20:26:24.468Z","","projet_neuf","39","unknown"
"casablanca","5","8276013","Habit immobilier met en vente un appartement villa de 4 chambres sans voisins","https://www.mubawab.ma/fr/a/8276013/habit-immobilier-met-en-vente-un-appartement-villa-de-4-chambres-sans-voisins","les hopitaux","3","7","3400000","12408.76","appartement","2026-03-28T20:26:28.087Z","","etat_bon_/_habitable","274","vente"
"casablanca","3","8284644","Habit immobilier met en vente un joli appartement","https://www.mubawab.ma/fr/a/8284644/habit-immobilier-met-en-vente-un-joli-appartement","mers sultan","2","4","2580000","19545.45","appartement","2026-03-28T20:26:32.240Z","","etat_bon_/_habitable","132","vente"
"marrakech","4","8147839","Nouveau projet haut standing 
route de casablanca","https://www.mubawab.ma/fr/a/8147839/nouveau-projet-haut-standing-route-de-casablanca","route casablanca","1","2","750000","21428.57","appartement","2026-03-28T20:26:35.148Z","","projet_neuf","35","unknown"
"casablanca","4","8272391","Habit immobilier met en vente un joli appartement","https://www.mubawab.ma/fr/a/8272391/habit-immobilier-met-en-vente-un-joli-appartement","palmier","2","4","2500000","18939.39","appartement","2026-03-28T20:26:37.456Z","","etat_bon_/_habitable","132","vente"
"casablanca",,"8297883","A vendre un joli appartement vide avec terrasse","https://www.mubawab.ma/fr/a/8297883/a-vendre-un-joli-appartement-vide-avec-terrasse","californie","2","3","1650000","14102.56","appartement","2026-03-28T20:26:38.576Z","","etat_bon_/_habitable","117","vente"
"marrakech",,"8240661","Projet immobilier neuf a 2 minutes de l’aéroport","https://www.mubawab.ma/fr/a/8240661/projet-immobilier-neuf-a-2-minutes-de-l%E2%80%99a%C3%A9roport","bouaakkaz","2","3","941000","11617.28","appartement","2026-03-28T20:26:45.747Z","","projet_neuf","81","unknown"
"marrakech","2","8294761","Jolie appartement à vendre","https://www.mubawab.ma/fr/a/8294761/jolie-appartement-%C3%A0-vendre","gueliz","2","2","1750000","18817.2","appartement","2026-03-28T20:26:46.172Z","","projet_neuf","93","vente"
"casablanca","2","8162431","A vendre un joli appartement","https://www.mubawab.ma/fr/a/8162431/a-vendre-un-joli-appartement","racine","3","5","3000000","14851.49","appartement","2026-03-28T20:26:46.961Z","","etat_bon_/_habitable","202","vente"
"casablanca","3","8284034","Vente d'un bel appartement à Bourgogne Ouest. 2 pièces confortables. Système de parabole et salon marocain","https://www.mubawab.ma/fr/a/8284034/vente-d-un-bel-appartement-%C3%A0-bourgogne-ouest-2-pi%C3%A8ces-confortables-syst%C3%A8me-de-parabole-et-salon-marocain","bourgogne ouest","1","2","1180000","22692.31","appartement","2026-03-28T20:26:49.766Z","","etat_bon_/_habitable","52","vente"
"marrakech","1","8310295","Vend appartement à Agdal. 
Surface totale 88 m². 
Bien meublé","https://www.mubawab.ma/fr/a/8310295/vend-appartement-%C3%A0-agdal-surface-totale-88-m%C2%B2-bien-meubl%C3%A9","agdal","2","3","2600000","29545.45","appartement","2026-03-28T20:26:51.965Z","","etat_bon_/_habitable","88","unknown"
"marrakech",,"8116352","A Vendre à River Palm Palmeraie sur la route de Casablanca.
Surface totale 100 m² environ","https://www.mubawab.ma/fr/a/8116352/a-vendre-%C3%A0-river-palm-palmeraie-sur-la-route-de-casablanca-surface-totale-100-m%C2%B2-environ","ennakhil (palmeraie)","2","3","1400000","14000","appartement","2026-03-28T20:26:54.458Z","","etat_bon_/_habitable","100","vente"
"casablanca","5","8321801","Appartement haut standing au cœur du centre ville","https://www.mubawab.ma/fr/a/8321801/appartement-haut-standing-au-c%C5%93ur-du-centre-ville","belvedere","2","3","1600000","14414.41","appartement","2026-03-28T20:26:54.462Z","","jamais_habite_/_renove","111","unknown"
"casablanca","7","8320274","Superbe Appartement 125 m2 Bourgone 
Opportunité Rare","https://www.mubawab.ma/fr/a/8320274/superbe-appartement-125-m2-bourgone-opportunit%C3%A9-rare","bourgogne ouest","2","4","1250000","10000","appartement","2026-03-28T20:26:56.577Z","","etat_bon_/_habitable","125","unknown"
"marrakech",,"8318614","Appartement en vente à Plaza. 
Surface de 100 m². 
Ascenseur et terrasse","https://www.mubawab.ma/fr/a/8318614/appartement-en-vente-%C3%A0-plaza-surface-de-100-m%C2%B2-ascenseur-et-terrasse","ouasis","2","2","13000","130","appartement","2026-03-28T20:27:01.636Z","","projet_neuf","100","vente"
"casablanca","3","8320067","Appartement 186 mètres 3 chambres Racine","https://www.mubawab.ma/fr/a/8320067/appartement-186-m%C3%A8tres-3-chambres-racine","maarif","2","2","2600000","13978.49","appartement","2026-03-28T20:27:02.541Z","","etat_bon_/_habitable","186","unknown"
"marrakech","2","8249623","Bel Appartement avec Terrasse dans Résidence Sécur","https://www.mubawab.ma/fr/a/8249623/bel-appartement-avec-terrasse-dans-r%C3%A9sidence-s%C3%A9cur","route casablanca","1","3","1300000","15853.66","appartement","2026-03-28T20:27:02.842Z","","etat_bon_/_habitable","82","unknown"
